35,35,43.0,97.0,0.0,78.0,120.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,42.0,96.0,0.0,77.0,119.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,41.0,95.0,0.0,76.0,118.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,40.0,94.0,0.0,75.0,117.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,39.0,93.0,0.0,74.0,116.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,38.0,92.0,0.0,73.0,115.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,37.0,91.0,0.0,72.0,114.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,36.0,90.0,0.0,71.0,113.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43,35.0,89.0,0.0,70.0,112.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44,34.0,88.0,0.0,69.0,111.0,44.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,33.0,87.0,0.0,68.0,110.0,43.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46,32.0,86.0,0.0,67.0,109.0,42.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47,31.0,85.0,0.0,66.0,108.0,41.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48,30.0,84.0,0.0,65.0,107.0,40.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49,29.0,83.0,0.0,64.0,106.0,39.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50,28.0,82.0,0.0,63.0,105.0,38.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51,27.0,81.0,0.0,62.0,104.0,37.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,26.0,80.0,0.0,61.0,103.0,36.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53,25.0,79.0,0.0,60.0,102.0,35.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54,24.0,78.0,0.0,59.0,101.0,34.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55,23.0,77.0,0.0,58.0,100.0,33.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56,22.0,76.0,0.0,57.0,99.0,32.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57,21.0,75.0,0.0,56.0,98.0,31.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58,20.0,74.0,0.0,55.0,97.0,30.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59,19.0,73.0,0.0,54.0,96.0,29.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,18.0,72.0,0.0,53.0,95.0,28.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,17.0,71.0,0.0,52.0,94.0,27.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,16.0,70.0,0.0,51.0,93.0,26.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,15.0,69.0,0.0,50.0,92.0,25.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64,14.0,68.0,0.0,49.0,91.0,24.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,13.0,67.0,0.0,48.0,90.0,23.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,12.0,66.0,0.0,47.0,89.0,22.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,11.0,65.0,0.0,46.0,88.0,21.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,10.0,64.0,0.0,45.0,87.0,20.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,9.0,63.0,0.0,44.0,86.0,19.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,8.0,62.0,0.0,43.0,85.0,18.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71,7.0,61.0,0.0,42.0,84.0,17.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72,6.0,60.0,0.0,41.0,83.0,16.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,5.0,59.0,0.0,40.0,82.0,15.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,4.0,58.0,0.0,39.0,81.0,14.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75,3.0,57.0,0.0,38.0,80.0,13.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76,2.0,56.0,0.0,37.0,79.0,12.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,1.0,55.0,0.0,36.0,78.0,11.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,0.0,54.0,0.0,35.0,77.0,10.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,0.0,53.0,0.0,34.0,76.0,9.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,0.0,52.0,0.0,33.0,75.0,8.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,0.0,51.0,0.0,32.0,74.0,7.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82,0.0,50.0,0.0,31.0,73.0,6.0,130.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83,0.0,49.0,0.0,30.0,72.0,5.0,129.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0
84,84,0.0,48.0,0.0,29.0,71.0,4.0,128.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85,0.0,47.0,0.0,28.0,70.0,3.0,127.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,0.0,46.0,0.0,27.0,69.0,2.0,126.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87,0.0,45.0,0.0,26.0,68.0,1.0,125.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0
88,88,0.0,44.0,0.0,25.0,67.0,0.0,124.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
89,89,0.0,43.0,0.0,24.0,66.0,0.0,123.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0
90,90,0.0,42.0,0.0,23.0,65.0,0.0,122.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91,0.0,41.0,0.0,22.0,64.0,0.0,121.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,0.0,40.0,0.0,21.0,63.0,0.0,120.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0
93,93,0.0,39.0,0.0,20.0,62.0,0.0,119.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0
94,94,0.0,38.0,0.0,19.0,61.0,0.0,118.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
95,95,0.0,37.0,0.0,18.0,60.0,0.0,117.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
96,96,0.0,36.0,0.0,17.0,59.0,0.0,116.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0
97,97,0.0,35.0,0.0,16.0,58.0,0.0,115.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0
98,98,0.0,34.0,0.0,15.0,57.0,0.0,114.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0
99,99,0.0,33.0,0.0,14.0,56.0,0.0,113.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0
100,100,0.0,32.0,0.0,13.0,55.0,0.0,112.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0
101,101,0.0,31.0,0.0,12.0,54.0,0.0,111.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0
102,102,0.0,30.0,0.0,11.0,53.0,0.0,110.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0
103,103,0.0,29.0,0.0,10.0,52.0,0.0,109.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0
104,104,0.0,28.0,0.0,9.0,51.0,0.0,108.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0
105,105,0.0,27.0,0.0,8.0,50.0,0.0,107.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
106,106,0.0,26.0,0.0,7.0,49.0,0.0,106.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
107,107,0.0,25.0,0.0,6.0,48.0,0.0,105.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
108,108,0.0,24.0,0.0,5.0,47.0,0.0,104.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
109,109,0.0,23.0,0.0,4.0,46.0,0.0,103.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0
110,110,0.0,22.0,0.0,3.0,45.0,0.0,102.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
111,111,0.0,21.0,0.0,2.0,44.0,0.0,101.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0
112,112,0.0,20.0,0.0,1.0,43.0,0.0,100.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0
113,113,0.0,19.0,0.0,0.0,42.0,0.0,99.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0
114,114,0.0,18.0,0.0,0.0,41.0,0.0,98.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0
115,115,0.0,17.0,0.0,0.0,40.0,0.0,97.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0
116,116,0.0,16.0,0.0,0.0,39.0,0.0,96.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0
117,117,0.0,15.0,0.0,0.0,38.0,0.0,95.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
118,118,0.0,14.0,0.0,0.0,37.0,0.0,94.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
119,119,0.0,13.0,0.0,0.0,36.0,0.0,93.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0
120,120,0.0,12.0,0.0,0.0,35.0,0.0,92.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0
121,121,0.0,11.0,0.0,0.0,34.0,0.0,91.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0
122,122,0.0,10.0,0.0,0.0,33.0,0.0,90.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
123,123,0.0,9.0,0.0,0.0,32.0,0.0,89.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0
124,124,0.0,8.0,0.0,0.0,31.0,0.0,88.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
125,125,0.0,7.0,0.0,0.0,30.0,0.0,87.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0
126,126,0.0,6.0,0.0,0.0,29.0,0.0,86.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0
127,127,0.0,5.0,0.0,0.0,28.0,0.0,85.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0
128,128,0.0,4.0,0.0,0.0,27.0,0.0,84.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0
129,129,0.0,3.0,0.0,0.0,26.0,0.0,83.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0
130,130,0.0,2.0,0.0,0.0,25.0,0.0,82.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131,0.0,1.0,0.0,0.0,24.0,0.0,81.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0
132,132,0.0,0.0,0.0,0.0,23.0,0.0,80.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0
133,133,0.0,0.0,0.0,0.0,22.0,0.0,79.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0
134,134,0.0,0.0,0.0,0.0,21.0,0.0,78.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0
135,135,0.0,0.0,0.0,0.0,20.0,0.0,77.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0
136,136,0.0,0.0,0.0,0.0,19.0,0.0,76.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0
137,137,0.0,0.0,0.0,0.0,18.0,0.0,75.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
138,138,0.0,0.0,0.0,0.0,17.0,0.0,74.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
139,139,0.0,0.0,0.0,0.0,16.0,0.0,73.0,111.0,134.0,0.0,0.0,0.0,0.0,0.0
140,140,0.0,0.0,0.0,0.0,15.0,0.0,72.0,110.0,133.0,0.0,0.0,0.0,0.0,0.0
141,141,0.0,0.0,0.0,0.0,14.0,0.0,71.0,109.0,132.0,0.0,0.0,0.0,0.0,0.0
142,142,0.0,0.0,0.0,0.0,13.0,0.0,70.0,108.0,131.0,0.0,0.0,0.0,0.0,0.0
143,143,0.0,0.0,0.0,0.0,12.0,0.0,69.0,107.0,130.0,0.0,0.0,0.0,0.0,0.0
144,144,0.0,0.0,0.0,0.0,11.0,0.0,68.0,106.0,129.0,0.0,0.0,0.0,0.0,0.0
145,145,0.0,0.0,0.0,0.0,10.0,0.0,67.0,105.0,128.0,0.0,0.0,0.0,0.0,0.0
146,146,0.0,0.0,0.0,0.0,9.0,0.0,66.0,104.0,127.0,0.0,0.0,0.0,0.0,0.0
147,147,0.0,0.0,0.0,0.0,8.0,0.0,65.0,103.0,126.0,0.0,0.0,0.0,0.0,0.0
148,148,0.0,0.0,0.0,0.0,7.0,0.0,64.0,102.0,125.0,0.0,0.0,0.0,0.0,0.0
149,149,0.0,0.0,0.0,0.0,6.0,0.0,63.0,101.0,124.0,0.0,0.0,0.0,0.0,0.0
150,150,0.0,0.0,0.0,0.0,5.0,0.0,62.0,100.0,123.0,0.0,0.0,0.0,0.0,0.0
151,151,0.0,0.0,0.0,0.0,4.0,0.0,61.0,99.0,122.0,0.0,0.0,0.0,0.0,0.0
152,152,0.0,0.0,0.0,0.0,3.0,0.0,60.0,98.0,121.0,0.0,0.0,0.0,0.0,0.0
153,153,0.0,0.0,0.0,0.0,2.0,0.0,59.0,97.0,120.0,0.0,0.0,0.0,0.0,0.0
154,154,0.0,0.0,0.0,0.0,1.0,0.0,58.0,96.0,119.0,0.0,0.0,0.0,0.0,0.0
155,155,0.0,0.0,0.0,0.0,0.0,0.0,57.0,95.0,118.0,0.0,0.0,0.0,0.0,0.0
156,156,0.0,0.0,0.0,0.0,0.0,0.0,56.0,94.0,117.0,0.0,0.0,0.0,0.0,0.0
157,157,0.0,0.0,0.0,0.0,0.0,0.0,55.0,93.0,116.0,0.0,0.0,0.0,0.0,0.0
158,158,0.0,0.0,0.0,0.0,0.0,0.0,54.0,92.0,115.0,0.0,0.0,0.0,0.0,0.0
159,159,0.0,0.0,0.0,0.0,0.0,0.0,53.0,91.0,114.0,0.0,0.0,0.0,0.0,0.0
160,160,0.0,0.0,0.0,0.0,0.0,0.0,52.0,90.0,113.0,0.0,0.0,0.0,0.0,0.0
161,161,0.0,0.0,0.0,0.0,0.0,0.0,51.0,89.0,112.0,0.0,0.0,0.0,0.0,0.0
162,162,0.0,0.0,0.0,0.0,0.0,0.0,50.0,88.0,111.0,132.0,0.0,0.0,0.0,0.0
163,163,0.0,0.0,0.0,0.0,0.0,0.0,49.0,87.0,110.0,131.0,0.0,0.0,0.0,0.0
164,164,0.0,0.0,0.0,0.0,0.0,0.0,48.0,86.0,109.0,130.0,0.0,0.0,0.0,0.0
165,165,0.0,0.0,0.0,0.0,0.0,0.0,47.0,85.0,108.0,129.0,0.0,0.0,0.0,0.0
166,166,0.0,0.0,0.0,0.0,0.0,0.0,46.0,84.0,107.0,128.0,0.0,0.0,0.0,0.0
167,167,0.0,0.0,0.0,0.0,0.0,0.0,45.0,83.0,106.0,127.0,0.0,0.0,0.0,0.0
168,168,0.0,0.0,0.0,0.0,0.0,0.0,44.0,82.0,105.0,126.0,0.0,0.0,0.0,0.0
169,169,0.0,0.0,0.0,0.0,0.0,0.0,43.0,81.0,104.0,125.0,0.0,0.0,0.0,0.0
170,170,0.0,0.0,0.0,0.0,0.0,0.0,42.0,80.0,103.0,124.0,0.0,0.0,0.0,0.0
171,171,0.0,0.0,0.0,0.0,0.0,0.0,41.0,79.0,102.0,123.0,0.0,0.0,0.0,0.0
172,172,0.0,0.0,0.0,0.0,0.0,0.0,40.0,78.0,101.0,122.0,0.0,0.0,0.0,0.0
173,173,0.0,0.0,0.0,0.0,0.0,0.0,39.0,77.0,100.0,121.0,0.0,0.0,0.0,0.0
174,174,0.0,0.0,0.0,0.0,0.0,0.0,38.0,76.0,99.0,120.0,0.0,0.0,0.0,0.0
175,175,0.0,0.0,0.0,0.0,0.0,0.0,37.0,75.0,98.0,119.0,0.0,0.0,0.0,0.0
176,176,0.0,0.0,0.0,0.0,0.0,0.0,36.0,74.0,97.0,118.0,0.0,0.0,0.0,0.0
177,177,0.0,0.0,0.0,0.0,0.0,0.0,35.0,73.0,96.0,117.0,0.0,0.0,0.0,0.0
178,178,0.0,0.0,0.0,0.0,0.0,0.0,34.0,72.0,95.0,116.0,0.0,0.0,0.0,0.0
179,179,0.0,0.0,0.0,0.0,0.0,0.0,33.0,71.0,94.0,115.0,0.0,0.0,0.0,0.0
180,180,0.0,0.0,0.0,0.0,0.0,0.0,32.0,70.0,93.0,114.0,120.0,0.0,0.0,0.0
181,181,0.0,0.0,0.0,0.0,0.0,0.0,31.0,69.0,92.0,113.0,119.0,0.0,0.0,0.0
182,182,0.0,0.0,0.0,0.0,0.0,0.0,30.0,68.0,91.0,112.0,118.0,0.0,0.0,0.0
183,183,0.0,0.0,0.0,0.0,0.0,0.0,29.0,67.0,90.0,111.0,117.0,0.0,0.0,0.0
184,184,0.0,0.0,0.0,0.0,0.0,0.0,28.0,66.0,89.0,110.0,116.0,0.0,0.0,0.0
185,185,0.0,0.0,0.0,0.0,0.0,0.0,27.0,65.0,88.0,109.0,115.0,0.0,0.0,0.0
186,186,0.0,0.0,0.0,0.0,0.0,0.0,26.0,64.0,87.0,108.0,114.0,0.0,0.0,0.0
187,187,0.0,0.0,0.0,0.0,0.0,0.0,25.0,63.0,86.0,107.0,113.0,0.0,0.0,0.0
188,188,0.0,0.0,0.0,0.0,0.0,0.0,24.0,62.0,85.0,106.0,112.0,0.0,0.0,0.0
189,189,0.0,0.0,0.0,0.0,0.0,0.0,23.0,61.0,84.0,105.0,111.0,0.0,0.0,0.0
190,190,0.0,0.0,0.0,0.0,0.0,0.0,22.0,60.0,83.0,104.0,110.0,0.0,0.0,0.0
191,191,0.0,0.0,0.0,0.0,0.0,0.0,21.0,59.0,82.0,103.0,109.0,0.0,0.0,0.0
192,192,0.0,0.0,0.0,0.0,0.0,0.0,20.0,58.0,81.0,102.0,108.0,0.0,0.0,0.0
193,193,0.0,0.0,0.0,0.0,0.0,0.0,19.0,57.0,80.0,101.0,107.0,0.0,0.0,0.0
194,194,0.0,0.0,0.0,0.0,0.0,0.0,18.0,56.0,79.0,100.0,106.0,0.0,0.0,0.0
195,195,0.0,0.0,0.0,0.0,0.0,0.0,17.0,55.0,78.0,99.0,105.0,0.0,0.0,0.0
196,196,0.0,0.0,0.0,0.0,0.0,0.0,16.0,54.0,77.0,98.0,104.0,0.0,0.0,0.0
197,197,0.0,0.0,0.0,0.0,0.0,0.0,15.0,53.0,76.0,97.0,103.0,0.0,0.0,0.0
198,198,0.0,0.0,0.0,0.0,0.0,0.0,14.0,52.0,75.0,96.0,102.0,0.0,0.0,0.0
199,199,0.0,0.0,0.0,0.0,0.0,0.0,13.0,51.0,74.0,95.0,101.0,0.0,0.0,0.0
200,200,0.0,0.0,0.0,0.0,0.0,0.0,12.0,50.0,73.0,94.0,100.0,0.0,0.0,0.0
201,201,0.0,0.0,0.0,0.0,0.0,0.0,11.0,49.0,72.0,93.0,99.0,0.0,0.0,0.0
202,202,0.0,0.0,0.0,0.0,0.0,0.0,10.0,48.0,71.0,92.0,98.0,0.0,0.0,0.0
203,203,0.0,0.0,0.0,0.0,0.0,0.0,9.0,47.0,70.0,91.0,97.0,0.0,0.0,0.0
204,204,0.0,0.0,0.0,0.0,0.0,0.0,8.0,46.0,69.0,90.0,96.0,0.0,0.0,0.0
205,205,0.0,0.0,0.0,0.0,0.0,0.0,7.0,45.0,68.0,89.0,95.0,0.0,0.0,0.0
206,206,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,67.0,88.0,94.0,59.0,0.0,0.0
207,207,0.0,0.0,0.0,0.0,0.0,0.0,5.0,43.0,66.0,87.0,93.0,58.0,0.0,0.0
208,208,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.0,65.0,86.0,92.0,57.0,0.0,0.0
209,209,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,64.0,85.0,91.0,56.0,0.0,0.0
210,210,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,63.0,84.0,90.0,55.0,0.0,0.0
211,211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,62.0,83.0,89.0,54.0,0.0,0.0
212,212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,61.0,82.0,88.0,53.0,0.0,0.0
213,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,60.0,81.0,87.0,52.0,0.0,0.0
214,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,59.0,80.0,86.0,51.0,0.0,0.0
215,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,58.0,79.0,85.0,50.0,0.0,0.0
216,216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,57.0,78.0,84.0,49.0,84.0,0.0
217,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,56.0,77.0,83.0,48.0,83.0,0.0
218,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,55.0,76.0,82.0,47.0,82.0,0.0
219,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,54.0,75.0,81.0,46.0,81.0,0.0
220,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,53.0,74.0,80.0,45.0,80.0,0.0
221,221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,52.0,73.0,79.0,44.0,79.0,0.0
222,222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,51.0,72.0,78.0,43.0,78.0,0.0
223,223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,50.0,71.0,77.0,42.0,77.0,0.0
224,224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,49.0,70.0,76.0,41.0,76.0,0.0
225,225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,48.0,69.0,75.0,40.0,75.0,0.0
226,226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,47.0,68.0,74.0,39.0,74.0,0.0
227,227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,46.0,67.0,73.0,38.0,73.0,0.0
228,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,45.0,66.0,72.0,37.0,72.0,0.0
229,229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,44.0,65.0,71.0,36.0,71.0,0.0
230,230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,43.0,64.0,70.0,35.0,70.0,0.0
231,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,42.0,63.0,69.0,34.0,69.0,0.0
