,time,14,962,984,985,1007,1029,1030,1051,1052,1073,1074,1096,1097,1118,1119,1141,1163,1164,1185,1186,1208,1230,1231,1253,1254,1275,1276,1298,1320,1321,1343,1365,1366,1388,1410,1411,1432,1433,1455,1477,1478,1499,1500,1522,1544,1545,1567,1523,1209,1456,1142,1299,1075,1344,37,15,1232,1501,1389,1008,1187,1120,1568,1434,1277,1053,1210,1322,1546,1479,1165,1098,1367,986,1412,1255,1031,1524,1188,1143,1457,1300,38,1076,16,1345,1233,1502,1390,1166,1009,1569,1121,1435,1278,1054,1211,1547,1323,1480,1144,1099,1368,1256,1413,987,1032,1525,1189,39,1122,1458,1301,1077,17,1346,1234,1503,1167,1391,1570,1100,1010,1436,1279,1055,1548,1212,1481,1324,1145,1078,1369,1257,1414,1526,1033,40,1190,988,1123,1459,18,1302,1056,1347
0,0,2.1168456077575684,3.8455140590667725,3.3792755603790283,4.6101484298706055,4.225786209106445,3.443150043487549,5.045230388641357,2.688419818878174,4.962396144866943,2.3267717361450195,4.65994119644165,2.0021142959594727,5.3744611740112305,1.855928897857666,5.678946018218994,0.5143959522247314,1.22866690158844,5.678198337554932,1.3994569778442383,6.197076320648193,0.6180354356765747,1.0065453052520752,5.877980709075928,0.1327347755432129,5.605546474456787,0.6315216422080994,6.006792068481445,0.2636609375476837,0.6577763557434082,5.61069393157959,6.140707969665527,0.41755616664886475,5.192338466644287,5.605096340179443,0.1364072859287262,4.755546569824219,0.6677994728088379,4.87471866607666,5.723938465118408,0.8289444446563721,4.197841167449951,1.0205944776535034,3.7696478366851807,2.055866003036499,1.5109361410140991,3.364081859588623,2.7199697494506836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.111682891845703,3.8415775299072266,3.375976085662842,4.606439113616943,4.21939754486084,3.4356913566589355,5.043305397033691,2.6861870288848877,4.958923816680908,2.3265371322631836,4.641122817993164,2.0048954486846924,5.374672889709473,1.8575719594955444,5.68257474899292,0.5276463627815247,1.2334650754928589,5.680922985076904,1.4016388654708862,6.203669548034668,0.6242851614952087,1.0097920894622803,5.88222599029541,0.138644278049469,5.608701229095459,0.6356837153434753,6.012010097503662,0.26874950528144836,0.6607484817504883,5.615152359008789,6.1469526290893555,0.42165830731391907,5.195773601531982,5.61226224899292,0.14337705075740814,4.757625102996826,0.6700116991996765,4.879566192626953,5.744975566864014,0.8301252126693726,4.198553562164307,1.019940972328186,3.7663252353668213,2.041382312774658,1.5065838098526,3.361220359802246,2.7141757011413574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2.1065261363983154,3.83764910697937,3.3726935386657715,4.602713584899902,4.212991237640381,3.4282944202423096,5.041366100311279,2.6839802265167236,4.955406665802002,2.3263049125671387,4.6215314865112305,2.0076041221618652,5.374886512756348,1.8591982126235962,5.6862640380859375,0.5408883690834045,1.2382185459136963,5.683670997619629,1.4038066864013672,6.21030330657959,0.6305095553398132,1.0130196809768677,5.886496067047119,0.14455460011959076,5.611873149871826,0.6398257613182068,6.017242908477783,0.2738208472728729,0.6637040972709656,5.619632244110107,6.1531901359558105,0.42573341727256775,5.199231147766113,5.619460105895996,0.15028634667396545,4.759718894958496,0.6722030639648438,4.884471893310547,5.765989303588867,0.8312842845916748,4.199273586273193,1.0192943811416626,3.7629151344299316,2.0270516872406006,1.502272367477417,3.3583321571350098,2.7083511352539062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2.1013760566711426,3.833728790283203,3.3694276809692383,4.598971843719482,4.206567287445068,3.420959711074829,5.039412498474121,2.6817991733551025,4.951844215393066,2.3260746002197266,4.601134300231934,2.0102434158325195,5.375101566314697,1.8608078956604004,5.690014839172363,0.5541176199913025,1.2429277896881104,5.6864423751831055,1.4059604406356812,6.216977119445801,0.6367084383964539,1.016228437423706,5.8907904624938965,0.15046539902687073,5.6150617599487305,0.643947958946228,6.022489547729492,0.27887484431266785,0.6666433215141296,5.624134063720703,6.159421443939209,0.42978161573410034,5.202711582183838,5.6266889572143555,0.15713533759117126,4.7618279457092285,0.6743738651275635,4.889436721801758,5.786962509155273,0.8324223160743713,4.2000017166137695,1.018654465675354,3.759413719177246,2.012877941131592,1.4980014562606812,3.355416774749756,2.70249605178833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,2.0962324142456055,3.8298165798187256,3.366178274154663,4.595213413238525,4.200126647949219,3.413686752319336,5.037444114685059,2.679643154144287,4.948235511779785,2.3258464336395264,4.579899311065674,2.0128157138824463,5.37531852722168,1.8624011278152466,5.69382905960083,0.5673294067382812,1.2475934028625488,5.68923807144165,1.4081003665924072,6.223690986633301,0.6428813934326172,1.0194182395935059,5.8951096534729,0.15637625753879547,5.61826753616333,0.6480501890182495,6.027750492095947,0.2839113473892212,0.6695662140846252,5.62865686416626,6.165646076202393,0.43380308151245117,5.206214427947998,5.63394832611084,0.1639242023229599,4.763952255249023,0.6765243411064148,4.894461154937744,5.807876110076904,0.8335398435592651,4.200737476348877,1.0180213451385498,3.7558178901672363,1.9988640546798706,1.493770718574524,3.352473735809326,2.696610927581787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,2.0910959243774414,0.0,3.362945795059204,4.591439247131348,4.19366979598999,3.406475782394409,5.03546142578125,2.677511692047119,4.944579601287842,0.0,4.557794094085693,2.0153234004974365,5.375536918640137,1.863978385925293,5.697708606719971,0.5805193781852722,1.2522157430648804,5.6920576095581055,0.0,6.230444431304932,0.6490282416343689,1.0225892066955566,5.899453163146973,0.16228680312633514,5.621490478515625,0.652132511138916,6.033024787902832,0.288930207490921,0.6724729537963867,5.6332011222839355,6.171862602233887,0.4377979338169098,5.209740161895752,5.641238212585449,0.17065316438674927,4.766092300415039,0.6786548495292664,4.8995466232299805,5.8287129402160645,0.8346375226974487,4.201481342315674,1.0173946619033813,3.7521238327026367,1.9850127696990967,1.4895797967910767,3.3495030403137207,2.690695285797119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,2.0859663486480713,0.0,3.359729528427124,4.587648391723633,4.187196731567383,3.399326801300049,5.033463478088379,2.6754047870635986,4.940876483917236,0.0,4.534786701202393,2.0177693367004395,5.375756740570068,1.865539789199829,5.701654434204102,0.5936830639839172,1.2567952871322632,5.694901943206787,0.0,6.237237930297852,0.6551486253738403,1.0257415771484375,5.9038214683532715,0.1681966334581375,5.624730587005615,0.6561949849128723,6.038312911987305,0.2939312756061554,0.6753635406494141,5.6377668380737305,6.178071022033691,0.4417663812637329,5.213289260864258,5.648557186126709,0.17732243239879608,4.768248081207275,0.6807656288146973,4.904693603515625,5.8494553565979,0.8357158303260803,4.202233791351318,1.0167745351791382,3.7483274936676025,1.971326470375061,1.4854280948638916,3.3465042114257812,2.6847500801086426,3.76141619682312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2.0808444023132324,0.0,3.356529951095581,4.583840847015381,4.180708885192871,3.392239570617676,5.031450271606445,2.6733217239379883,4.937124729156494,0.0,4.510848045349121,2.020155429840088,5.375978469848633,1.867085576057434,5.7056684494018555,0.6068159937858582,1.2613322734832764,5.697771072387695,0.0,6.244070053100586,0.6612423658370972,1.0288753509521484,5.908214569091797,0.17410536110401154,5.627987861633301,0.6602375507354736,6.043614387512207,0.29891443252563477,0.6782380938529968,5.642353534698486,6.184271335601807,0.4457085430622101,5.216860771179199,5.655905246734619,0.18393225967884064,4.770420074462891,0.6828569173812866,4.909903049468994,5.870086193084717,0.8367753028869629,4.202994346618652,1.0161608457565308,3.74442458152771,1.9578074216842651,1.4813152551651,3.3434767723083496,2.678774833679199,3.760594606399536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2.075730323791504,0.0,3.353346586227417,4.58001708984375,4.174205780029297,3.38521409034729,5.029422283172607,2.671262264251709,4.933323383331299,0.0,4.4859490394592285,2.022484064102173,5.376201629638672,1.868615984916687,5.709752082824707,0.6199139952659607,1.2658272981643677,5.700665473937988,0.0,6.250941753387451,0.6673091650009155,1.031990647315979,5.912632465362549,0.18001261353492737,5.63126277923584,0.6642603874206543,6.048928737640381,0.3038795292377472,0.6810967326164246,5.6469621658325195,6.190462589263916,0.44962456822395325,5.220456123352051,5.6632819175720215,0.19048289954662323,4.772607803344727,0.6849290132522583,4.915175437927246,5.890589714050293,0.8378165364265442,4.203763484954834,1.01555335521698,3.7404110431671143,1.9444572925567627,1.4772409200668335,3.3404204845428467,2.6727702617645264,3.7597665786743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
