,time,279,301,302,323,324,346,368,369,390,391,413,863,885,907,908,930,952,953,974,975,997,1019,1020,1042,998,257,347,436,931,886,414,976,280,392,325,1043,909,954,1021,370,303,999,437,348,932,415,887,977,393,281,326,1044,910,955,1066,1022,371,304,1000,438,349,933,416,978,888,394,1045,1067,327,282,1023,911,956,372,461,439,1001,305,350,417,934
0,0,4.272182941436768,3.507528781890869,5.168740749359131,2.7247602939605713,5.219079971313477,0.13631314039230347,1.7119592428207397,5.896475315093994,1.7739473581314087,0.2082219272851944,0.8753748536109924,-99.0,5.887185096740723,0.11726102977991104,-99.0,5.520414352416992,0.42983072996139526,-99.0,0.8176926374435425,-99.0,1.8980226516723633,1.4937036037445068,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1,1,4.266280174255371,3.500796318054199,5.1665802001953125,2.723463296890259,5.21555233001709,0.17605242133140564,1.7178356647491455,5.898151874542236,1.7765830755233765,0.21375179290771484,0.880921483039856,-99.0,5.891765594482422,0.12003296613693237,-99.0,5.531637668609619,0.4321056306362152,-99.0,0.8168672323226929,-99.0,1.887434959411621,1.4895695447921753,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
2,2,4.260368824005127,3.4941256046295166,5.164403438568115,2.7221813201904297,5.21196985244751,0.21880841255187988,1.7236360311508179,5.899843215942383,1.7792009115219116,0.2193232923746109,0.8864622712135315,-99.0,5.8963303565979,0.12278606742620468,-99.0,5.542835712432861,0.4343419075012207,-99.0,0.8160498738288879,-99.0,1.8769149780273438,1.4854613542556763,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
3,3,4.254448413848877,3.4875166416168213,5.162210464477539,2.720914363861084,5.208332061767578,0.2647637724876404,1.7293614149093628,5.901551246643066,1.7818009853363037,0.2249365895986557,0.8919969201087952,-99.0,5.900879383087158,0.1255204975605011,-99.0,5.5540056228637695,0.43654051423072815,-99.0,0.8152404427528381,-99.0,1.8664642572402954,1.4813790321350098,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
4,4,4.248520374298096,3.480968713760376,5.160000801086426,2.7196617126464844,5.204636573791504,0.3140753209590912,1.7350130081176758,5.903275012969971,1.7843834161758423,0.2305917888879776,0.8975251317024231,-99.0,5.9054131507873535,0.12823639810085297,-99.0,5.5651445388793945,0.43870246410369873,-99.0,0.8144389390945435,3.452876329421997,1.8560845851898193,1.4773223400115967,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
5,5,4.242584228515625,3.4744820594787598,5.157774448394775,2.71842360496521,5.200882911682129,0.366858571767807,1.7405917644500732,5.905014991760254,1.786948561668396,0.23628903925418854,0.9030466079711914,-99.0,5.909931182861328,0.1309339553117752,-99.0,5.5762505531311035,0.4408285915851593,-99.0,0.8136451244354248,3.448028326034546,1.845777153968811,1.473291277885437,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
6,6,4.2366414070129395,3.4680559635162354,5.15553092956543,2.7171993255615234,5.197070121765137,0.4231683611869812,1.7460989952087402,5.906771659851074,1.7894963026046753,0.24202845990657806,0.9085610508918762,-99.0,5.914433479309082,0.13361330330371857,-99.0,5.587320327758789,0.44291985034942627,-99.0,0.8128589391708374,3.443042039871216,1.8355435132980347,1.4692857265472412,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
7,7,4.230690956115723,3.4616899490356445,5.153270721435547,2.715989112854004,5.193195819854736,0.4829781651496887,1.7515355348587036,5.908545017242432,1.7920268774032593,0.24781017005443573,0.9140681028366089,-99.0,5.918919563293457,0.13627462089061737,-99.0,5.598351955413818,0.4449770152568817,-99.0,0.8120802640914917,3.4379119873046875,1.8253850936889648,1.4653055667877197,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
8,8,4.224734306335449,3.4553842544555664,5.1509928703308105,2.714792251586914,5.1892595291137695,0.5461584329605103,1.7569024562835693,5.910335540771484,1.794540524482727,0.2536342442035675,0.9195675253868103,-99.0,5.923389911651611,0.13891804218292236,-99.0,5.6093430519104,0.44700101017951965,-99.0,0.8113090991973877,3.4326319694519043,1.8153029680252075,1.4613505601882935,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
