,time,176,198,220,221,242,243,265,287,288,309,310,332,354,355,377,399,400,421,422,444,466,467,489,511,534,556,578,579,601,623,624,645,646,668,690,691,712,713,735,736,757,758,780,802,825,333,669,512,803,266,557,445,714,378,781,602,311,199,647,490,244,759,423,692,535,356,289,580,468,625,737,826,222,401,177,334,670,804,513,848,267,558,446,715,782,379,603,312,200,648,491,245,760,424,693,357,536,290,581,827,469,849,738,626,223,402,335,805,671,514,268,178,559,447,716,783,380,604,313,201,649,492,246,761,425,358,694,537,291,850,828,582,470,739,627,403,224,806,336,672,515,269,448,784,560,717,381
0,0,0.18965564668178558,0.3348758816719055,0.397525429725647,0.21382781863212585,0.28138288855552673,0.484293133020401,1.0294549465179443,0.6330491304397583,0.3332599699497223,0.274964302778244,0.7371206879615784,0.8499127626419067,0.3855251669883728,0.35695749521255493,0.5277255177497864,0.402589350938797,0.1920434683561325,0.20333044230937958,0.3288010358810425,0.36042165756225586,0.23971520364284515,0.22219035029411316,0.3183940351009369,0.28349569439888,0.2910698652267456,0.3505397439002991,0.25599995255470276,0.2684304714202881,0.446005642414093,0.42785269021987915,0.23049047589302063,0.2478639781475067,0.5094982385635376,0.8243914246559143,0.4826754331588745,0.405123233795166,0.22103513777256012,1.0123111009597778,0.8566280603408813,0.2206186205148697,0.35670995712280273,0.41324901580810547,0.4963313341140747,0.32767006754875183,0.18204374611377716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.19028666615486145,0.3348942697048187,0.39568454027175903,0.21534331142902374,0.2792685627937317,0.48718973994255066,1.0291776657104492,0.6274950504302979,0.335933655500412,0.2727401554584503,0.743542492389679,0.8468034863471985,0.3830176591873169,0.3594057857990265,0.5291306376457214,0.40113404393196106,0.19350296258926392,0.20197397470474243,0.3301749527454376,0.3601359724998474,0.23853813111782074,0.22339972853660583,0.3188329339027405,0.28256696462631226,0.292026162147522,0.35001614689826965,0.2545669376850128,0.2698269188404083,0.446517676115036,0.42578381299972534,0.23213715851306915,0.24599164724349976,0.5122124552726746,0.8215641379356384,0.4788306951522827,0.4083051383495331,0.21912595629692078,1.022261619567871,0.850299596786499,0.222536101937294,0.35424572229385376,0.41616129875183105,0.49750402569770813,0.3268711566925049,0.1829518973827362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.19091255962848663,0.33489707112312317,0.39383870363235474,0.21686285734176636,0.2771655023097992,0.49009159207344055,1.0286768674850464,0.6220024824142456,0.33862781524658203,0.2705302834510803,0.750026524066925,0.8436052203178406,0.380520761013031,0.36186644434928894,0.5305070281028748,0.39966803789138794,0.19496682286262512,0.2006198912858963,0.3315436840057373,0.35983380675315857,0.23735934495925903,0.22460857033729553,0.31925907731056213,0.28163135051727295,0.29297515749931335,0.3494778871536255,0.2531346380710602,0.27122217416763306,0.4470052719116211,0.4237114191055298,0.2337893545627594,0.24412815272808075,0.5149233937263489,0.8186529278755188,0.4750205874443054,0.4115128219127655,0.2172277420759201,1.032315731048584,0.8439799547195435,0.22446459531784058,0.35179415345191956,0.4190901517868042,0.49864915013313293,0.32606053352355957,0.18385747075080872,0.17564144730567932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.19153326749801636,0.33488431572914124,0.39198821783065796,0.2183864265680313,0.2750735878944397,0.492998331785202,1.0279533863067627,0.6165705323219299,0.3413427174091339,0.26833266019821167,0.7565728425979614,0.8403213024139404,0.3780345618724823,0.36433953046798706,0.5318540930747986,0.39819157123565674,0.1964350789785385,0.19926817715168,0.3329070210456848,0.3595152497291565,0.2361789047718048,0.22581680119037628,0.3196723759174347,0.28068897128105164,0.2939167022705078,0.34892508387565613,0.2517048716545105,0.2726159989833832,0.44746825098991394,0.4216358959674835,0.23544707894325256,0.2422734498977661,0.5176306366920471,0.8156607151031494,0.47124460339546204,0.41474664211273193,0.21534040570259094,1.0424731969833374,0.83767169713974,0.22640423476696014,0.3493552505970001,0.4220355749130249,0.4997662901878357,0.325238436460495,0.18476040661334991,0.17726963758468628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.19214874505996704,0.3348560035228729,0.3901333510875702,0.2199140191078186,0.27299273014068604,0.49590954184532166,1.0270088911056519,0.6111984252929688,0.3440786302089691,0.2661488652229309,0.7631818056106567,0.8369548916816711,0.37555909156799316,0.36682501435279846,0.5331713557243347,0.3967050015926361,0.1979077160358429,0.1979188770055771,0.3342648148536682,0.35918036103248596,0.23499689996242523,0.22702434659004211,0.3200727701187134,0.27973994612693787,0.2948506474494934,0.3483578562736511,0.250276118516922,0.2740090489387512,0.4479064345359802,0.41955751180648804,0.23711031675338745,0.24042746424674988,0.520333468914032,0.8125901818275452,0.46750232577323914,0.41800689697265625,0.21346379816532135,1.0527340173721313,0.8313772082328796,0.22835513949394226,0.3469289541244507,0.4249976575374603,0.5008549690246582,0.3244049847126007,0.18566064536571503,0.17890565097332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.19275891780853271,0.33481210470199585,0.3882744014263153,0.22144562005996704,0.270922988653183,0.4988248646259308,1.0258452892303467,0.6058852076530457,0.34683582186698914,0.2639787495136261,0.769853413105011,0.8335092067718506,0.3730943500995636,0.3693229854106903,0.5344582200050354,0.39520859718322754,0.19938474893569946,0.19657202064990997,0.3356168866157532,0.35882923007011414,0.23381340503692627,0.22823113203048706,0.32046014070510864,0.2787844240665436,0.295776903629303,0.3477763533592224,0.24884840846061707,0.27540117502212524,0.4483197033405304,0.4174765944480896,0.23877908289432526,0.23859013617038727,0.5230314135551453,0.8094441890716553,0.4637933671474457,0.4212939143180847,0.21159783005714417,1.0630979537963867,0.8250988721847534,0.23031744360923767,0.34451520442962646,0.4279763698577881,0.5019148588180542,0.32356035709381104,0.18655812740325928,0.18054957687854767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.1933637410402298,0.3347526490688324,0.3864116668701172,0.22298122942447662,0.2688625156879425,0.5017437934875488,1.0244650840759277,0.6006301045417786,0.34961459040641785,0.2618221044540405,0.7765878438949585,0.8299875259399414,0.3706403970718384,0.371833473443985,0.5357141494750977,0.3937026560306549,0.20086617767810822,0.19522762298583984,0.3369629979133606,0.35846197605133057,0.23262850940227509,0.22943709790706635,0.3208344280719757,0.27782246470451355,0.2966952919960022,0.34718066453933716,0.24742184579372406,0.2767922580242157,0.4487079083919525,0.4153934419155121,0.24045339226722717,0.2367614060640335,0.5257238149642944,0.8062254786491394,0.46011728048324585,0.4246079921722412,0.20974235236644745,1.0735647678375244,0.8188387751579285,0.23229126632213593,0.3421139717102051,0.43097174167633057,0.5029453635215759,0.3227047026157379,0.1874527782201767,0.18220148980617523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.19396314024925232,0.33467763662338257,0.38454538583755493,0.22452081739902496,0.2668125033378601,0.5046660304069519,1.0228711366653442,0.5954322218894958,0.3524152338504791,0.25967881083488464,0.783385157585144,0.8263930082321167,0.3681972324848175,0.3743564188480377,0.5369385480880737,0.3921874761581421,0.20235201716423035,0.1938856989145279,0.33830299973487854,0.35807862877845764,0.23144228756427765,0.230642169713974,0.3211955726146698,0.2768542468547821,0.2976056635379791,0.3465709388256073,0.24599649012088776,0.2781822085380554,0.44907087087631226,0.413308322429657,0.242133229970932,0.23494121432304382,0.528410017490387,0.8029369115829468,0.45647361874580383,0.4279494881629944,0.20789729058742523,1.0841339826583862,0.8125989437103271,0.23427671194076538,0.33972516655921936,0.43398380279541016,0.5039462447166443,0.3218382000923157,0.1883445382118225,0.18386144936084747,0.17482994496822357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.1945570558309555,0.33458709716796875,0.38267582654953003,0.22606436908245087,0.2647731304168701,0.5075910091400146,1.0210667848587036,0.5902907252311707,0.35523802042007446,0.2575487196445465,0.7902452945709229,0.8227288126945496,0.36576488614082336,0.37689194083213806,0.5381309986114502,0.3906633257865906,0.20384225249290466,0.1925462782382965,0.3396366834640503,0.3576793074607849,0.23025481402873993,0.23184628784656525,0.32154348492622375,0.275879830121994,0.2985079288482666,0.3459473252296448,0.24457237124443054,0.27957087755203247,0.44940856099128723,0.41122156381607056,0.24381859600543976,0.23312950134277344,0.5310894846916199,0.7995812296867371,0.452862024307251,0.4313187301158905,0.20606251060962677,1.0948052406311035,0.806381344795227,0.23627394437789917,0.3373487889766693,0.43701252341270447,0.5049169659614563,0.32096096873283386,0.18923334777355194,0.18552954494953156,0.17643368244171143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
